Pos.,Squadra,Competizione,N. di giocatori,Età,Poss.,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Reti,Assist,R + A,R - Rig,R + A - Rig,xG,xAG,xG+xAG,npxG,npxG+xAG
64,Napoli,it Serie A,20,"28,7",52.5,4,44,360,4.0,9,9,18,9,0,0,7,0,7.5,7.5,6.8,"14,3",91,203,"2,25","2,25","4,50","2,25","4,50","1,88","1,70","3,57","1,88","3,57"
65,Newcastle Utd,eng Premier League,18,"27,3",42.5,4,44,360,4.0,6,6,12,6,0,0,11,1,5.2,5.2,5.1,"10,4",62,120,"1,50","1,50","3,00","1,50","3,00","1,30","1,29","2,59","1,30","2,59"
66,Nice,fr Ligue 1,24,"26,6",50.5,4,44,360,4.0,6,5,11,6,0,0,10,1,6.1,6.1,3.6,"9,7",71,150,"1,50","1,25","2,75","1,50","2,75","1,52","0,90","2,42","1,52","2,42"
67,Nott'ham Forest,eng Premier League,22,"26,6",43.3,4,44,360,4.0,4,2,6,4,0,0,11,0,5.0,5.0,3.8,"8,8",76,125,"1,00","0,50","1,50","1,00","1,50","1,26","0,95","2,21","1,26","2,21"
68,Osasuna,es La Liga,22,"27,6",46.4,5,55,450,5.0,4,2,6,4,0,0,9,0,3.5,3.5,2.8,"6,4",74,145,"0,80","0,40","1,20","0,80","1,20","0,71","0,57","1,28","0,71","1,28"
69,Paris S-G,fr Ligue 1,21,"24,1",67.3,4,44,360,4.0,16,13,29,14,2,2,5,0,12.1,10.5,10.0,"20,5",126,234,"4,00","3,25","7,25","3,50","6,75","3,02","2,50","5,51","2,62","5,12"
70,Parma,it Serie A,23,"24,0",42.5,4,44,360,4.0,6,5,11,5,1,1,9,2,6.0,5.2,4.2,"9,4",58,90,"1,50","1,25","2,75","1,25","2,50","1,49","1,06","2,55","1,30","2,36"
71,Rayo Vallecano,es La Liga,22,"29,5",48.0,5,55,450,5.0,7,7,14,7,0,0,14,0,4.6,4.6,3.5,"8,1",70,166,"1,40","1,40","2,80","1,40","2,80","0,93","0,70","1,62","0,93","1,62"
72,RB Leipzig,de Bundesliga,19,"26,1",55.7,3,33,270,3.0,4,3,7,4,0,1,4,1,3.7,2.9,2.7,"5,6",44,115,"1,33","1,00","2,33","1,33","2,33","1,23","0,90","2,12","0,96","1,86"
73,Real Madrid,es La Liga,18,"27,7",59.6,5,55,450,5.0,9,5,14,5,4,4,6,1,10.0,7.2,6.4,"13,6",121,304,"1,80","1,00","2,80","1,00","2,00","1,99","1,28","3,27","1,44","2,72"
74,Real Sociedad,es La Liga,25,"26,0",56.7,6,66,540,6.0,3,2,5,3,0,0,14,1,4.4,4.4,3.4,"7,8",100,220,"0,50","0,33","0,83","0,50","0,83","0,74","0,56","1,30","0,74","1,30"
75,Reims,fr Ligue 1,21,"24,8",43.5,4,44,360,4.0,6,4,10,6,0,0,6,1,2.8,2.8,2.4,"5,2",66,137,"1,50","1,00","2,50","1,50","2,50","0,71","0,60","1,31","0,71","1,31"
76,Rennes,fr Ligue 1,20,"26,6",46.5,4,44,360,4.0,8,6,14,8,0,0,8,0,5.2,5.2,3.2,"8,3",68,181,"2,00","1,50","3,50","2,00","3,50","1,29","0,79","2,08","1,29","2,08"
